,County,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
429,"Amador County, California",37764,53462,37306,60636
430,"Butte County, California",220101,43339,225207,46516
431,"Calaveras County, California",45507,54686,45057,54800
432,"Colusa County, California",21329,52165,21479,56481
433,"Contra Costa County, California",1052047,78187,1123678,88456
434,"Del Norte County, California",28496,39626,27442,41287
435,"El Dorado County, California",180441,70117,185015,74885
436,"Fresno County, California",930517,45741,971616,48730
437,"Glenn County, California",28078,42641,27935,46260
438,"Humboldt County, California",134317,40830,135490,43718
439,"Imperial County, California",173487,41255,179957,44779
440,"Inyo County, California",18474,45000,18195,51500
441,"Kern County, California",839153,47727,878744,50826
442,"Kings County, California",151982,48761,150183,49742
443,"Lake County, California",64360,38147,64095,40446
444,"Lassen County, California",34628,51921,31470,54083
445,"Los Angeles County, California",9840024,56241,10105722,61015
446,"Madera County, California",150615,47937,154440,48210
447,"Marin County, California",252759,90962,260814,104703
448,"Mariposa County, California",18193,52584,17658,51385
449,"Mendocino County, California",87577,43721,87497,46528
450,"Merced County, California",256398,43565,267390,46338
451,"Modoc County, California",9545,37482,9017,39296
452,"Mono County, California",14181,61868,14058,60595
453,"Monterey County, California",416199,60143,433168,63249
454,"Napa County, California",136644,69571,141005,79637
455,"Nevada County, California",98521,57382,98838,60610
456,"Orange County, California",3021840,75566,3155816,81851
457,"Placer County, California",350074,73356,374985,80488
458,"Plumas County, California",19926,45358,18724,50266
459,"Riverside County, California",2192982,57096,2355002,60807
460,"Sacramento County, California",1422348,55846,1495400,60239
461,"San Benito County, California",55467,63939,58671,80760
462,"San Bernardino County, California",2041029,54750,2121220,57156
463,"San Diego County, California",3100500,63373,3283665,70588
464,"San Francisco County, California",807755,73802,864263,96265
465,"San Joaquin County, California",687036,53895,724153,57813
466,"San Luis Obispo County, California",270121,59628,280119,67175
467,"San Mateo County, California",721183,87751,763450,105667
468,"Santa Barbara County, California",423594,62723,442996,68023
469,"Santa Clara County, California",1788393,90747,1911226,106761
470,"Santa Cruz County, California",262340,66571,273263,73663
471,"Shasta County, California",177693,44396,178919,47258
472,"Sierra County, California",3163,42500,2885,44190
473,"Siskiyou County, California",44673,37948,43530,40884
474,"Solano County, California",414209,69006,434981,72950
475,"Sonoma County, California",483456,63565,500943,71769
476,"Stanislaus County, California",515115,49866,535684,54260
477,"Sutter County, California",94615,50510,95583,54347
478,"Tehama County, California",63200,40307,63247,42512
479,"Trinity County, California",13693,36569,13037,36563
480,"Tulare County, California",441877,43803,458809,44871
481,"Tuolumne County, California",55205,48169,53899,54325
482,"Ventura County, California",822794,76483,847834,81972
483,"Yolo County, California",200873,57260,212605,61621
484,"Yuba County, California",72244,46641,74644,51776
485,"Adams County, Colorado",442996,56633,487850,64087
486,"Alamosa County, Colorado",15750,38045,16345,36315
487,"Arapahoe County, Colorado",574357,60400,626612,69553
488,"Archuleta County, Colorado",12109,54007,12592,48016
489,"Baca County, Colorado",3783,39497,3581,35898
490,"Bent County, Colorado",6192,36297,5806,32500
491,"Boulder County, Colorado",297218,67403,316782,75669
492,"Broomfield County, Colorado",55913,80483,64283,85639
493,"Chaffee County, Colorado",17879,45713,18818,53762
494,"Cheyenne County, Colorado",2095,50357,2127,54907
495,"Clear Creek County, Colorado",9059,60517,9257,68534
496,"Conejos County, Colorado",8241,32860,8147,35657
497,"Costilla County, Colorado",3556,25309,3628,29000
498,"Crowley County, Colorado",5747,38507,5514,35292
499,"Custer County, Colorado",4208,42534,4505,41330
500,"Delta County, Colorado",30710,42786,30217,42487
501,"Denver County, Colorado",604356,49091,678467,60098
502,"Dolores County, Colorado",1806,43098,1736,40352
503,"Douglas County, Colorado",286883,101108,320940,111154
504,"Eagle County, Colorado",51850,71030,53726,83803
505,"Elbert County, Colorado",23058,80811,24553,92849
506,"El Paso County, Colorado",622816,57531,674826,62535
507,"Fremont County, Colorado",47006,40893,46601,44712
508,"Garfield County, Colorado",56330,60215,57945,66503
509,"Gilpin County, Colorado",5358,62286,5793,72544
510,"Grand County, Colorado",14608,64416,14793,66489
511,"Gunnison County, Colorado",15385,50091,16215,52651
512,"Hinsdale County, Colorado",790,54844,820,53056
513,"Huerfano County, Colorado",6730,32754,6498,35801
514,"Jackson County, Colorado",1397,45298,1372,45994
515,"Jefferson County, Colorado",536095,68748,564029,75170
516,"Kiowa County, Colorado",1393,41739,1368,39250
517,"Kit Carson County, Colorado",8210,42832,7846,45881
518,"Lake County, Colorado",7372,45082,7481,46176
519,"La Plata County, Colorado",51443,57407,54469,62533
520,"Larimer County, Colorado",300870,57927,330976,64980
521,"Las Animas County, Colorado",15385,41623,14151,40586
522,"Lincoln County, Colorado",5443,43807,5520,44725
523,"Clark County, Kentucky",35555,45486,35757,51547
524,"Clay County, Kentucky",21833,22296,20866,24596
525,"Clinton County, Kentucky",10244,26885,10208,31130
526,"Crittenden County, Kentucky",9321,32839,9154,41114
527,"Cumberland County, Kentucky",6857,29885,6744,35449
528,"Daviess County, Kentucky",96711,45507,99258,48371
529,"Edmonson County, Kentucky",12141,35243,12063,41114
530,"Elliott County, Kentucky",7774,24841,7533,29043
