City,State,Year 2017,Year 2018
Akron city, Ohio,198092,198006
Little Rock city, Arkansas,198418,197881
Huntsville city, Alabama,195056,197318
Augusta-Richmond County consolidated government (balance), Georgia,196828,196939
Port St. Lucie city, Florida,189265,195248
Grand Prairie city, Texas,194214,194614
Columbus city, Georgia,193766,194160
Tallahassee city, Florida,192048,193551
Overland Park city, Kansas,191322,192536
Tempe city, Arizona,185931,192364
McKinney city, Texas,181757,191645
Mobile city, Alabama,190501,189572
Cape Coral city, Florida,183442,189343
Shreveport city, Louisiana,191638,188987
Frisco city, Texas,177286,188170
Knoxville city, Tennessee,186973,187500
Worcester city, Massachusetts,185417,185877
Brownsville city, Texas,183066,183392
Vancouver city, Washington,180379,183012
Fort Lauderdale city, Florida,179886,182595
Sioux Falls city, South Dakota,178000,181883
Ontario city, California,175482,181107
Chattanooga city, Tennessee,178897,180557
Providence city, Rhode Island,179503,179335
Newport News city, Virginia,179398,178626
Rancho Cucamonga city, California,177115,177751
Santa Rosa city, California,182248,177586
Oceanside city, California,175930,176080
Salem city, Oregon,169850,173442
Elk Grove city, California,171503,172886
Garden Grove city, California,173646,172646
Pembroke Pines city, Florida,170657,172374
Peoria city, Arizona,168192,172259
Eugene city, Oregon,169558,171245
Corona city, California,167503,168819
Cary town, North Carolina,165897,168160
Springfield city, Missouri,167387,168122
Fort Collins city, Colorado,165099,167830
Jackson city, Mississippi,166909,164422
Alexandria city, Virginia,159654,160530
Hayward city, California,159994,159620
Lancaster city, California,159618,159053
Lakewood city, Colorado,155048,156798
Clarksville city, Tennessee,153054,156794
Palmdale city, California,156808,156667
Salinas city, California,156824,156259
Springfield city, Massachusetts,154498,155032
Hollywood city, Florida,153393,154823
Pasadena city, Texas,153968,153219
Sunnyvale city, California,153254,153185
Macon-Bibb County, Georgia,152892,153095
Kansas City city, Kansas,152938,152958
Pomona city, California,152659,152361
Escondido city, California,151399,152213
Killeen city, Texas,145480,149103
Naperville city, Illinois,147689,148304
Joliet city, Illinois,148065,148099
Bellevue city, Washington,145451,147599
Rockford city, Illinois,147028,146526
Savannah city, Georgia,145829,145862
Paterson city, New Jersey,145804,145627
Torrance city, California,146025,145182
Bridgeport city, Connecticut,145408,144900
McAllen city, Texas,142841,143433
Mesquite city, Texas,144236,142816
Syracuse city, New York,142300,142749
Midland city, Texas,136353,142344
Pasadena city, California,141995,141371
Murfreesboro city, Tennessee,136103,141344
Miramar city, Florida,140123,140823
Dayton city, Ohio,140416,140640
Fullerton city, California,139928,139640
Olathe city, Kansas,137501,139605
Orange city, California,140100,139484
Thornton city, Colorado,136945,139436
Roseville city, California,135101,139117
Denton city, Texas,136082,138541
Waco city, Texas,136433,138183
Surprise city, Arizona,134915,138161
Carrollton city, Texas,135777,136879
West Valley City city, Utah,136408,136401
Charleston city, South Carolina,135745,136208
Warren city, Michigan,135127,134587
Hampton city, Virginia,134581,134313
Gainesville city, Florida,132018,133857
Visalia city, California,132610,133800
Coral Springs city, Florida,132987,133507
Columbia city, South Carolina,133869,133451
Cedar Rapids city, Iowa,132333,133174
Sterling Heights city, Michigan,132731,132964
New Haven city, Connecticut,130640,130418
Stamford city, Connecticut,129951,129775
Concord city, California,129502,129688
Kent city, Washington,129372,129618
Santa Clara city, California,126803,129488
Elizabeth city, New Jersey,128205,128885
Round Rock city, Texas,123463,128739
Thousand Oaks city, California,128484,127690
Lafayette city, Louisiana,126365,126143
Athens-Clarke County unified government (balance), Georgia,125462,125964
Topeka city, Kansas,126583,125904
Simi Valley city, California,126366,125851
Fargo city, North Dakota,122469,124844
Norman city, Oklahoma,122965,123471
Columbia city, Missouri,121892,123180
Abilene city, Texas,122210,122999
Wilmington city, North Carolina,120753,122607
Hartford city, Connecticut,122902,122587
Victorville city, California,122191,122312
Pearland city, Texas,119831,122149
Vallejo city, California,121644,121913
Ann Arbor city, Michigan,121621,121890
Berkeley city, California,121999,121643
Allentown city, Pennsylvania,120966,121433
Richardson city, Texas,117028,120981
Odessa city, Texas,116910,120568
Arvada city, Colorado,118998,120492
Cambridge city, Massachusetts,117133,118977
Sugar Land city, Texas,118611,118600
Beaumont city, Texas,119266,118428
Lansing city, Michigan,117882,118427
Evansville city, Indiana,118288,117963
Rochester city, Minnesota,115405,116961
Independence city, Missouri,117127,116925
Fairfield city, California,115887,116884
Provo city, Utah,117518,116702
Clearwater city, Florida,115476,116478
College Station city, Texas,113892,116218
West Jordan city, Utah,114070,116046
Carlsbad city, California,114641,115877
El Monte city, California,115618,115586
Murrieta city, California,113116,114985
Temecula city, California,114006,114742
Springfield city, Illinois,115688,114694
Palm Bay city, Florida,112326,114194
Costa Mesa city, California,113825,113615
Westminster city, Colorado,113254,113479
North Charleston city, South Carolina,110932,113237
Miami Gardens city, Florida,113504,113069
Manchester city, New Hampshire,112117,112525
High Point city, North Carolina,111977,112316
Downey city, California,112596,112269
Clovis city, California,109362,112022
Pompano Beach city, Florida,110379,111954
Pueblo city, Colorado,111129,111750
Elgin city, Illinois,112181,111683
Lowell city, Massachusetts,111728,111670
Antioch city, California,111419,111535
West Palm Beach city, Florida,110345,111398
Peoria city, Illinois,112592,111388
Everett city, Washington,110385,111262
San Buenaventura (Ventura) city, California,110346,111128
Centennial city, Colorado,110453,110831
Lakeland city, Florida,107791,110516
Gresham city, Oregon,111342,110158
Richmond city, California,109786,110146
Billings city, Montana,109806,109550
Inglewood city, California,110108,109419
Broken Arrow city, Oklahoma,108450,109171
Sandy Springs city, Georgia,106544,108797
Jurupa Valley city, California,105739,108393
Hillsboro city, Oregon,107421,108389
Waterbury city, Connecticut,108277,108093
Santa Maria city, California,106375,107408
Boulder city, Colorado,107895,107353
Greeley city, Colorado,106639,107348
Daly City city, California,106736,107008
Meridian city, Idaho,100653,106804
Lewisville city, Texas,106077,106586
Davie town, Florida,105239,106558
West Covina city, California,107115,106311
League City city, Texas,104554,106244
Tyler city, Texas,104810,105729
Norwalk city, California,105620,105120
San Mateo city, California,104399,105025
Green Bay city, Wisconsin,104986,104879
Wichita Falls city, Texas,104493,104576
Sparks city, Nevada,100149,104246
Burbank city, California,104351,103695
Rialto city, California,103326,103440
Allen city, Texas,100912,103383
El Cajon city, California,103509,103241
Las Cruces city, New Mexico,101968,102926
Renton city, Washington,102107,102153
Davenport city, Iowa,102335,102085
South Bend city, Indiana,101968,101860
Vista city, California,101028,101224
Tuscaloosa city, Alabama,100118,101113
San Angelo city, Texas,99830,100215
Kenosha city, Wisconsin,99965,100164
Vacaville city, California,99695,100154
Roanoke city, Virginia,99436,99920
Spokane Valley city, Washington,97793,99703
Boca Raton city, Florida,98234,99244
Beaverton city, Oregon,97790,98962
Edinburg city, Texas,95815,98665
Lee's Summit city, Missouri,97123,98461
Rio Rancho city, New Mexico,96226,98023
Yuma city, Arizona,96531,97908
Bend city, Oregon,94525,97590
Orem city, Utah,97627,97521
Lawrence city, Kansas,96753,97286
Albany city, New York,97726,97279
South Fulton city, Georgia,96019,97277
Federal Way city, Washington,97377,97044
Sandy city, Utah,96314,96901
San Marcos city, California,95811,96847
Compton city, California,97174,96617
Longmont city, Colorado,94712,96577
Erie city, Pennsylvania,97313,96471
Nampa city, Idaho,93631,96252
Flint city, Michigan,96488,95943
Brockton city, Massachusetts,95659,95777
Sunrise city, Florida,94261,95458
New Bedford city, Massachusetts,94990,95315
Hesperia city, California,94610,95274
Mission Viejo city, California,95698,95202
Chico city, California,93326,94776
Lynn city, Massachusetts,94095,94654
Roswell city, Georgia,94636,94650
Portsmouth city, Virginia,94693,94632
Quincy city, Massachusetts,94317,94580
South Gate city, California,94997,94443
Dearborn city, Michigan,94645,94333
Plantation city, Florida,93838,94288
Concord city, North Carolina,92085,94130
Livonia city, Michigan,94173,93971
Yakima city, Washington,93675,93884
Carmel city, Indiana,91989,93510
Fishers city, Indiana,91683,93362
Greenville city, North Carolina,92068,93137
Edmond city, Oklahoma,91830,93127
Lawton city, Oklahoma,93975,92859
Menifee city, California,90334,92595
Asheville city, North Carolina,91798,92452
Deltona city, Florida,90632,91951
Carson city, California,92329,91909
Tracy city, California,90579,91812
Redding city, California,91605,91772
Miami Beach city, Florida,92061,91718
Chino city, California,89717,91583
Santa Monica city, California,91902,91411
Santa Barbara city, California,91574,91350
Indio city, California,89589,91240
Suffolk city, Virginia,90275,91185
Westminster city, California,91261,90938
Bellingham city, Washington,89139,90665
Livermore city, California,90030,90269
San Leandro city, California,90297,89703
Fall River city, Massachusetts,89274,89661
Kirkland city, Washington,89259,89557
Mount Pleasant town, South Carolina,86747,89338
Nashua city, New Hampshire,89081,89246
Norwalk city, Connecticut,88399,89047
Newton city, Massachusetts,88855,88904
Reading city, Pennsylvania,88158,88495
O'Fallon city, Missouri,87544,88472
Champaign city, Illinois,87716,88029
Citrus Heights city, California,87782,87910
Fort Smith city, Arkansas,87879,87845
Conroe city, Texas,84807,87654
Palm Coast city, Florida,86067,87607
Ogden city, Utah,87072,87325
St. George city, Utah,84509,87178
Hawthorne city, California,87460,86965
Waukegan city, Illinois,87638,86792
Fayetteville city, Arkansas,85601,86751
Redwood City city, California,86385,86200
Whittier city, California,86460,86064
Duluth city, Minnesota,85980,85884
Avondale city, Arizona,84807,85835
Lake Forest city, California,83996,85623
Bloomington city, Minnesota,85615,85578
Bryan city, Texas,84346,85445
Newport Beach city, California,85876,85326
Hemet city, California,84848,85275
Clifton city, New Jersey,85144,85273
Hoover city, Alabama,84862,85108
Largo city, Florida,84642,84996
Bloomington city, Indiana,84896,84981
Mission city, Texas,84185,84827
Danbury city, Connecticut,84680,84730
Alhambra city, California,85014,84649
Santa Fe city, New Mexico,84256,84612
New Braunfels city, Texas,78928,84612
Johns Creek city, Georgia,84232,84310
Troy city, Michigan,84194,84272
Trenton city, New Jersey,83593,83974
Chino Hills city, California,80207,83447
Mountain View city, California,81197,83377
Merced city, California,82677,83316
Kennewick city, Washington,81732,82943
Goodyear city, Arizona,79944,82835
Melbourne city, Florida,81916,82826
Buena Park city, California,82742,82421
Sioux City city, Iowa,82163,82396
Pleasanton city, California,82744,82372
Medford city, Oregon,81136,82347
Fort Myers city, Florida,79975,82254
Lynchburg city, Virginia,81065,82126
Auburn city, Washington,81275,81905
Westland city, Michigan,81891,81720
Longview city, Texas,81303,81647
Cicero town, Illinois,82448,81597
Manteca city, California,78952,81592
Somerville city, Massachusetts,81159,81562
Cranston city, Rhode Island,81034,81274
Farmington Hills city, Michigan,81429,81093
Springdale city, Arkansas,79845,81029
Franklin city, Tennessee,78180,80914
Deerfield Beach city, Florida,80512,80863
Warwick city, Rhode Island,80797,80847
Brooklyn Park city, Minnesota,80337,80610
Milpitas city, California,77906,80430
Lawrence city, Massachusetts,80062,80376
Lakewood city, California,80611,80140
Tustin city, California,80229,79795
Pharr city, Texas,79198,79707
Plymouth city, Minnesota,78159,79450
Napa city, California,79336,79263
Perris city, California,77692,79133
Folsom city, California,77882,79022
Parma city, Ohio,79148,78751
New Rochelle city, New York,79031,78742
Alameda city, California,78940,78338
Boynton Beach city, Florida,77639,78050
Lake Charles city, Louisiana,77302,78001
Bloomington city, Illinois,78145,77962
Loveland city, Colorado,76581,77446
Racine city, Wisconsin,77507,77432
Flower Mound town, Texas,76453,77329
Layton city, Utah,76484,77303
Scranton city, Pennsylvania,77282,77182
Bellflower city, California,77429,77131
Gastonia city, North Carolina,76417,77024
Baytown city, Texas,76895,77024
Upland city, California,76856,77000
Cedar Park city, Texas,75606,76999
Jonesboro city, Arkansas,75797,76990
Kalamazoo city, Michigan,75809,76545
Iowa City city, Iowa,75626,76290
Temple city, Texas,74439,76256
St. Joseph city, Missouri,76282,75959
San Ramon city, California,75761,75839
Wyoming city, Michigan,75997,75820
Baldwin Park city, California,76064,75813
Warner Robins city, Georgia,74809,75797
Hammond city, Indiana,76418,75795
Bethlehem city, Pennsylvania,75545,75790
Rapid City city, South Dakota,74476,75443
Gary city, Indiana,75881,75282
Albany city, Georgia,73205,75249
Arlington Heights village, Illinois,75536,75249
Bolingbrook village, Illinois,75072,75178
Pasco city, Washington,72999,74778
Missouri City city, Texas,74368,74705
Rochester Hills city, Michigan,74528,74696
Rancho Cordova city, California,73418,74585
Union City city, California,75133,74559
Appleton city, Wisconsin,74586,74526
Missoula city, Montana,73546,74428
Buckeye city, Arizona,68557,74370
Rock Hill city, South Carolina,73013,74309
Georgetown city, Texas,70505,74180
South Jordan city, Utah,71027,74149
Evanston city, Illinois,74667,74106
Camden city, New Jersey,73893,73973
Flagstaff city, Arizona,72121,73964
Kissimmee city, Florida,71205,73597
Schaumburg village, Illinois,74089,73509
Apple Valley town, California,72940,73508
Turlock city, California,73205,73504
Southfield city, Michigan,73423,73158
Framingham city, Massachusetts,71866,73123
Bismarck city, North Dakota,72960,73112
Jacksonville city, North Carolina,72545,72896
Waukesha city, Wisconsin,72547,72549
New Britain city, Connecticut,72613,72453
Pittsburg city, California,71963,72437
Lafayette city, Indiana,72274,72168
Frederick city, Maryland,71052,72146
Lauderhill city, Florida,71900,72094
Gulfport city, Mississippi,71890,71870
Pawtucket city, Rhode Island,71665,71847
Maple Grove city, Minnesota,70839,71807
Redlands city, California,71428,71586
Woodbury city, Minnesota,69575,71306
Decatur city, Illinois,71892,71290
Weston city, Florida,70890,71210
Mansfield city, Texas,68850,70981
North Richland Hills city, Texas,70543,70836
St. Charles city, Missouri,70307,70764
Wilmington city, Delaware,70671,70635
Lynwood city, California,70793,70504
Homestead city, Florida,69955,70477
Canton city, Ohio,70817,70458
Passaic city, New Jersey,70020,69948
Walnut Creek city, California,69607,69825
Marysville city, Washington,68979,69779
Delray Beach city, Florida,68735,69358
Davis city, California,68749,69289
