,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
153,"Kirksville, MO Micro Area",29939,32853,29887,38766
154,"Klamath Falls, OR Micro Area",66350,41066,66018,42531
155,"Knoxville, TN Metro Area",699097,46422,862490,49820
156,"Kokomo, IN Metro Area",98831,45702,82457,47958
157,"Laconia, NH Micro Area",60206,57163,60383,65834
158,"Lafayette, LA Metro Area",273945,48185,487633,49514
159,"La Grande, OR Micro Area",25670,41784,25810,46228
160,"LaGrange, GA Micro Area",67146,40246,69433,43597
161,"Lake Charles, LA Metro Area",199241,44924,205559,48481
162,"Lake City, FL Micro Area",67546,37534,68484,43504
163,"Lake Havasu City-Kingman, AZ Metro Area",201216,39383,204691,41567
164,"Lakeland-Winter Haven, FL Metro Area",604562,43606,652256,45988
165,"Lamesa, TX Micro Area",13761,40152,13095,43201
166,"Lancaster, PA Metro Area",519913,56172,536494,61492
167,"Lansing-East Lansing, MI Metro Area",464458,50185,472092,53710
168,"Laramie, WY Micro Area",36186,42882,37944,45816
169,"Laredo, TX Metro Area",250320,38421,269624,40442
170,"Las Cruces, NM Metro Area",208794,38462,213849,39114
171,"Las Vegas, NM Micro Area",29225,30499,28203,29168
172,"Laurel, MS Micro Area",84901,36394,84875,37747
173,"Laurinburg, NC Micro Area",36266,30472,35445,32739
174,"Lawrence, KS Metro Area",111073,48395,117806,54370
175,"Lawrenceburg, TN Micro Area",41779,36663,42591,41522
176,"Lawton, OK Metro Area",123101,46320,129066,49608
177,"Lebanon, MO Micro Area",35507,39101,35488,42646
178,"Lebanon, PA Metro Area",133578,54259,137616,57698
179,"Levelland, TX Micro Area",22988,51054,23273,49184
180,"Lewisburg, PA Micro Area",44944,46737,45056,53768
181,"Lewisburg, TN Micro Area",30585,40687,31753,46837
182,"Lewiston, ID-WA Metro Area",60884,44226,62273,50760
183,"Lewiston-Auburn, ME Metro Area",107766,44826,107317,49538
184,"Lewistown, PA Micro Area",46694,38671,46452,46286
185,"Lexington, NE Micro Area",26287,44976,25944,51923
186,"Lexington-Fayette, KY Metro Area",472974,49497,500689,54436
187,"Liberal, KS Micro Area",23013,47731,22948,47535
188,"Lima, OH Metro Area",106079,43194,104157,47905
189,"Lincoln, IL Micro Area",30278,46647,29488,58271
190,"Lincoln, NE Metro Area",303154,52320,323402,56132
191,"Little Rock-North Little Rock-Conway, AR Metro Area",700952,48377,730346,51362
192,"Lock Haven, PA Micro Area",39261,40682,39321,47990
193,"Logan, UT-ID Metro Area",124834,48936,133408,53548
194,"Logansport, IN Micro Area",38875,41135,38248,45558
195,"London, KY Micro Area",58891,36835,127352,33745
196,"Longview, TX Metro Area",214048,45565,216934,48359
197,"Longview, WA Metro Area",102138,46568,103590,49804
198,"Los Alamos, NM Micro Area",18008,106426,18031,110190
199,"Louisville/Jefferson County, KY-IN Metro Area",1284195,49435,1278203,54624
200,"Lubbock, TX Metro Area",284439,43800,309722,48709
201,"Lufkin, TX Micro Area",86550,40150,87700,46472
202,"Lumberton, NC Micro Area",133920,30167,134187,32407
203,"Lynchburg, VA Metro Area",252560,45953,258995,50711
204,"Macomb, IL Micro Area",32568,35812,31597,42911
205,"Madison, IN Micro Area",32501,43395,32293,50722
206,"Madison, WI Metro Area",570687,61006,640072,66609
207,"Madisonville, KY Micro Area",46891,40501,45985,44048
208,"Magnolia, AR Micro Area",24644,34895,23992,37072
209,"Malone, NY Micro Area",51698,45702,51054,50733
210,"Manchester-Nashua, NH Metro Area",401101,70472,406371,75777
211,"Manhattan, KS Metro Area",127657,46858,98884,51427
212,"Manitowoc, WI Micro Area",81266,50091,79680,51053
213,"Mankato-North Mankato, MN Metro Area",96680,52883,99244,56458
214,"Mansfield, OH Metro Area",124286,42894,121533,44138
215,"Marinette, WI-MI Micro Area",65745,41245,64101,44776
216,"Marion, IN Micro Area",69886,39751,67615,42046
217,"Marion, OH Micro Area",66514,40966,65483,44708
218,"Marquette, MI Micro Area",67178,45349,67145,48491
219,"Marshall, MN Micro Area",25714,47256,25789,54181
220,"Marshall, MO Micro Area",23232,39090,23010,41567
221,"Marshall, TX Micro Area",65958,46718,66606,48644
222,"Marshalltown, IA Micro Area",40568,49259,40476,52752
223,"Martin, TN Micro Area",34802,35509,33776,36550
